ID	TYPE	SIZE
1	bc	170
2	bc	169
3	bc	161
4	bc	87
5	bc	19
6	st	21
7	nb	7
8	bc	32
9	bc	13
10	bc	2
11	bc	12
12	nb	44
13	bc	5
14	nb	21
15	bc	30
16	bc	7
17	bc	3
18	nb	49
19	bc	12
20	bc	4
21	nb	67
22	bc	16
23	bc	3
24	nb	21
25	bc	3
26	nb	5
27	nb	79
28	bc	2
29	nb	72
30	bc	2
31	nb	64
32	bc	9
33	bc	4
34	nb	24
35	nb	110
36	nb	26
37	nb	65
38	nb	81
39	bc	5
40	nb	26
41	st	268
42	nb	85
43	nb	20
44	nb	83
45	nb	166
46	nb	170
47	st	516
48	nb	466
49	nb	53
50	nb	169
51	nb	123
52	st	178
53	nb	48
54	nb	170
55	nb	12
56	nb	72
57	nb	139
58	nb	329
59	nb	65
60	nb	24
61	st	170
62	st	170
63	nb	98
64	nb	4215
65	nb	104
66	nb	123
67	bc	36
68	st	188
69	nb	111
70	st	170
71	st	1307
72	nb	135
73	nb	102
74	st	87
75	nb	147
76	st	96
77	st	170
78	st	88
79	nb	55
80	nb	90
81	st	787
82	st	2638
83	nb	28
84	nb	34
85	nb	362
86	st	64
87	st	64
88	nb	378
89	nb	186
90	nb	63
91	st	170
92	st	165
93	st	95
94	st	199
95	nb	261
96	st	1574
97	st	117
98	nb	36
99	st	138
100	st	104
101	nb	168
102	nb	326
103	nb	110
104	st	165
105	st	54
106	st	54
107	st	817
108	st	58
109	st	58
110	st	91
111	nb	765
112	nb	189
113	nb	1282
114	st	55
115	nb	1957
116	st	73
117	nb	69
118	st	573
119	nb	152
120	st	170
121	st	237
122	nb	145
123	st	99
124	nb	580
125	nb	85
126	st	45
127	nb	828
128	nb	615
129	st	653
130	st	44
131	nb	82
132	nb	710
133	st	48
134	nb	719
135	st	43
136	nb	74
137	st	305
138	nb	212
139	st	68
140	nb	984
141	st	57
142	st	57
143	st	172
144	nb	438
145	bc	2
146	nb	552
147	nb	45
148	nb	165
149	nb	273
150	st	575
151	nb	220
152	st	96
153	st	67
154	st	148
155	st	114
156	nb	273
157	st	107
158	st	67
159	nb	127
160	st	77
161	st	98
162	nb	428
163	st	52
164	st	49
165	st	174
166	st	50
167	st	470
168	st	40
169	st	40
170	st	84
171	nb	136
172	st	91
